Month,remainder
2015 Feb,0.0011052485295142134
2015 Mar,9.683065543004687e-4
2015 Apr,3.2330369802480163e-4
2015 May,2.1460315134014252e-4
2015 Jun,6.072814019706385e-4
2015 Jul,0.0013939591764771109
2015 Aug,-0.0011283200469787147
2015 Sep,-8.030164152916797e-4
2015 Oct,8.202489248052558e-4
2015 Nov,-0.0010918188628128433
2015 Dec,0.0012270756202319433
2016 Jan,0.0033234945194067222
2016 Feb,7.273633011486424e-4
2016 Mar,-0.0027137539013661893
2016 Apr,-4.0255551732570893e-4
2016 May,-0.001618241135632914
2016 Jun,-0.001132606058375174
2016 Jul,-7.375109708327443e-4
2016 Aug,-0.0014130864737929016
2016 Sep,-0.0031983466540186356
2016 Oct,7.370621416278311e-4
2016 Nov,1.7037543336506644e-4
2016 Dec,4.853252167347222e-4
2017 Jan,-0.0013035787116226771
2017 Feb,-0.0012608163868321753
2017 Mar,2.6738557733274604e-4
2017 Apr,5.318773415297073e-4
2017 May,9.515286002148571e-4
2017 Jun,-6.819329846052824e-5
2017 Jul,0.0016608101065269665
2017 Aug,0.001053113022996044
2017 Sep,0.004693000517008272
2017 Oct,-9.204913352220956e-4
2017 Nov,0.006674043945025687
2017 Dec,0.010711777320194571
2018 Jan,0.004476501445939363
2018 Feb,-8.489897662187218e-4
2018 Mar,-9.160036813167238e-4
2018 Apr,-2.7540475699261435e-4
2018 May,0.002318452680857064
2018 Jun,0.0029229510816346504
2018 Jul,-8.693655363281039e-4
2018 Aug,-2.4831018293269835e-4
2018 Sep,-9.370716503820375e-4
2018 Oct,0.001086064964205491
2018 Nov,0.0013486296714173562
2018 Dec,-0.0014272504840029399
2019 Jan,-3.888801705365097e-4
2019 Feb,9.021757327900559e-4
2019 Mar,0.0016623930595507375
2019 Apr,0.001105147389306893
2019 May,-5.284062604484774e-4
2019 Jun,-3.021356960903887e-4
2019 Jul,-0.0014407023342482006
2019 Aug,-6.00354155647409e-4
2019 Sep,6.059852416093747e-4
2019 Oct,9.160610169089978e-5
2019 Nov,2.2086882257532636e-4
2019 Dec,-0.009419814768520496
